model,release_date
Qwen/Qwen1.5-MoE-A2.7B-Chat,2024-03-14 03:26:42
Qwen/Qwen2-0.5B,2024-05-31 08:38:11
Qwen/Qwen2-0.5B-Instruct,2024-06-03 09:06:06
Qwen/Qwen2-1.5B,2024-05-31 08:41:32
Qwen/Qwen2-1.5B-Instruct,2024-06-03 09:08:12
Qwen/Qwen2-57B-A14B,2024-05-22 18:08:21
Qwen/Qwen2-57B-A14B-Instruct,2024-06-04 08:11:26
Qwen/Qwen2-72B,2024-05-22 15:28:10
Qwen/Qwen2-72B-Instruct,2024-05-28 03:48:49
Qwen/Qwen2-7B,2024-06-04 13:35:27
Qwen/Qwen2-7B-Instruct,2024-06-04 10:07:03
Qwen/Qwen2-Math-72B-Instruct,2024-08-08 04:18:44
Qwen/Qwen2-Math-7B,2024-08-08 04:29:12
Qwen/Qwen2.5-0.5B,2024-09-15 12:15:39
Qwen/Qwen2.5-0.5B-Instruct,2024-09-16 11:52:46
Qwen/Qwen2.5-1.5B,2024-09-15 12:16:50
Qwen/Qwen2.5-1.5B-Instruct,2024-09-17 14:10:29
Qwen/Qwen2.5-14B,2024-09-15 12:18:18
Qwen/Qwen2.5-14B-Instruct,2024-09-16 11:56:10
Qwen/Qwen2.5-32B,2024-09-15 12:18:33
Qwen/Qwen2.5-32B-Instruct,2024-09-17 04:17:55
Qwen/Qwen2.5-3B,2024-09-15 12:17:03
Qwen/Qwen2.5-3B-Instruct,2024-09-17 14:08:52
Qwen/Qwen2.5-72B,2024-09-15 12:18:46
Qwen/Qwen2.5-72B-Instruct,2024-09-16 11:56:31
Qwen/Qwen2.5-7B,2024-09-15 12:17:40
Qwen/Qwen2.5-7B-Instruct,2024-09-16 11:55:40
Qwen/Qwen2.5-Coder-7B,2024-09-16 11:57:24
Qwen/Qwen2.5-Coder-7B-Instruct,2024-09-17 13:38:49
Qwen/Qwen2.5-Math-7B-Instruct,2024-09-19 12:16:23
refuelai/Llama-3-Refueled,2024-05-03 05:16:26
Salesforce/LLaMA-3-8B-SFR-Iterative-DPO-R,2024-05-09 23:49:58
